,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,enrollee_id,target
0,32403,city_41,0.8270000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,,1,21,32403,0.5
1,9858,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,,Pvt Ltd,1,98,9858,0.5
2,31806,city_21,0.624,Male,No relevent experience,no_enrollment,High School,,<1,,Pvt Ltd,never,15,31806,0.5
3,27385,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10/49,Pvt Ltd,1,39,27385,0.5
4,27724,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,72,27724,0.5
5,217,city_23,0.899,Male,No relevent experience,Part time course,Masters,STEM,10,,,2,12,217,0.5
6,21465,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Pvt Ltd,1,11,21465,0.5
7,27302,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,81,27302,0.5
8,12994,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,,,4,2,12994,0.5
9,16287,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,,3,50-99,Funded Startup,1,4,16287,0.5
10,10856,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,,,>4,196,10856,0.5
11,9272,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10/49,Pvt Ltd,2,51,9272,0.5
12,14249,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Other,never,48,14249,0.5
13,24372,city_98,0.949,,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,134,24372,0.5
14,14070,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,5,,,never,10,14070,0.5
15,24914,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,13,1000-4999,Pvt Ltd,1,125,24914,0.5
16,7865,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,4,7865,0.5
17,7463,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,Business Degree,2,50-99,Pvt Ltd,1,31,7463,0.5
18,21514,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,6,,Pvt Ltd,4,23,21514,0.5
19,29033,city_21,0.624,Male,No relevent experience,Full time course,,,2,,,never,110,29033,0.5
20,15359,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,2,,,never,74,15359,0.5
21,16001,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,,1,44,16001,0.5
22,25202,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,3,33,25202,0.5
23,5058,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,1,,,1,81,5058,0.5
24,23570,city_118,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,>4,19,23570,0.5
25,19139,city_103,0.92,Female,Has relevent experience,Part time course,Graduate,STEM,15,,Public Sector,>4,48,19139,0.5
26,9548,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,65,9548,0.5
27,8799,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,6,,Public Sector,1,46,8799,0.5
28,11113,city_134,0.698,,Has relevent experience,no_enrollment,Masters,STEM,16,,Pvt Ltd,1,78,11113,0.5
29,19437,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,10/49,Pvt Ltd,,105,19437,0.5
30,394,city_73,0.754,,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,29,394,0.5
31,7683,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,,,1,10,7683,0.5
32,22849,city_116,0.743,,Has relevent experience,no_enrollment,,,,50-99,Pvt Ltd,never,12,22849,0.5
33,17189,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,4,43,17189,0.5
34,28610,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,18,28610,0.5
